,id,timestamp,queue_delay_port_137,number_of_packets_for_average_port_137,queue_delay_port_136,number_of_packets_for_average_port_136
558,284,820018617271667,2579538851,332,31279,58
559,284,820018964050719,1972261990,322,18351,34
560,285,820019314887637,3151543319,317,31839,59
561,285,820019669141057,1126296157,222,24248,45
562,286,820020019803957,1582548298,302,131551,244
563,286,820020378412388,271440616,157,81595,151
564,287,820020730974168,2268548766,257,71197,132
565,287,820021089921224,1719041660,322,27483,51
566,288,820021448104191,1942744649,262,13491,25
567,288,820021803305380,1864356898,322,50667,94
568,289,820022154213982,3616691515,207,17248,32
569,289,820022511792266,1384148155,322,8135,15
570,290,820022870754652,3686140288,307,54456,101
571,290,820023233199916,2066452791,282,41520,77
572,291,820023585605167,3627010865,347,69084,128
573,291,820024344075424,3946124670,302,55550,103
574,292,820024652765565,67866956,257,137718,255
575,293,820025001536141,3485271539,202,108098,200
576,293,820025352760760,48048061,257,137629,255
577,294,820025707799579,2825909296,342,119880,222
578,294,820026062571016,2081418656,342,62652,116
579,295,820026418637114,4194094860,347,47516,88
580,295,820026773251534,1120435430,222,43758,81
581,296,820027129921870,2287323715,137,27645,51
582,296,820027478178904,3991490483,157,11924,22
583,297,820027825131290,3450927373,322,106436,197
584,297,820028176695420,2568570034,322,172846,320
585,298,820028536157562,3402679001,317,170199,315
586,298,820028886671842,1451489266,347,186379,345
587,299,820029243124586,277068527,177,94817,175
588,299,820029593056427,3104937509,207,110946,205
589,300,820029943969986,2684630934,332,106810,198
590,300,820030294883420,2574916800,337,76040,141
591,301,820030638798942,2164213097,177,18855,35
592,301,820030990929613,3709539063,297,30179,56
593,302,820031345652363,1460367030,202,107913,200
594,302,820031691886909,1236447243,132,70055,130
595,303,820032051341723,2924988868,142,68987,128
596,303,820032398466844,1914260506,332,93220,173
597,304,820032759927179,2192046033,207,26967,50
598,304,820033120085077,2597294127,357,22118,41
599,305,820033483987429,2637875457,152,15091,28
600,305,820033845213065,2932260102,207,28543,53
601,306,820034210559908,1296947033,317,54446,101
602,306,820034567659780,1158698773,302,64713,120
603,307,820034928233588,2483884533,322,54447,101
604,307,820035288801663,644660389,272,110769,205
605,308,820035634220947,1417163555,137,73063,135
606,308,820035988941366,3805289866,147,61711,114
607,309,820036349335069,1486857695,137,25417,47
608,309,820036704814713,3403253133,142,35685,66
609,310,820037059049674,3154075631,147,22722,42
610,310,820037413925694,496086423,157,6494,12
611,311,820037772708242,666591168,247,44816,83
612,311,820038130810572,2578477050,337,78211,145
613,312,820038480663634,731515417,322,52288,97
614,312,820038839735726,1105366261,297,22650,42
615,313,820039188051058,2618176649,212,25436,47
616,313,820039539325508,4173986154,277,50233,93
617,314,820039898896166,3315313964,242,97789,181
618,314,820040245997164,3023968532,197,105506,195
619,315,820040603012429,2430150994,137,73121,135
620,315,820040953894696,3124340756,157,83862,155
621,316,820041316755522,1980790027,342,183683,340
622,316,820041671892200,2846433440,322,57263,106
623,317,820042032195136,1859103564,232,34611,64
624,317,820042391324022,245329053,177,28089,52
625,318,820042749586282,3580466716,172,17791,33
626,318,820043110457574,75864237,307,51779,96
627,319,820043461800246,1319163098,132,36164,67
628,319,820043823608115,72567738,137,72831,135
629,320,820044169912609,2034285159,132,70063,130
630,320,820044530150505,3472576239,147,78237,145
631,321,820044887099944,1799428835,142,75459,140
